Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,338.299988,343.089996,289.010010,313.260010,313.260010,427237300
2022-02-01,314.559998,328.000000,190.220001,211.029999,211.029999,1128039600
2022-03-01,209.869995,231.149994,185.820007,222.360001,222.360001,733274500
2022-04-01,224.550003,236.860001,169.000000,200.470001,200.470001,672255000
2022-05-01,201.169998,224.300003,176.110001,193.639999,193.639999,680548800
2022-06-01,196.509995,202.029999,154.250000,161.250000,161.250000,685975600
2022-07-01,160.309998,183.850006,154.850006,159.100006,159.100006,586482400
2022-08-01,157.250000,183.100006,155.229996,162.929993,162.929993,551922900
2022-09-01,163.580002,171.389999,134.119995,135.679993,135.679993,635014800
2022-10-01,137.139999,142.389999,92.599998,93.160004,93.160004,1107662200
2022-11-01,94.330002,118.739998,88.089996,118.099998,118.099998,1063791200
2022-12-01,119.199997,124.669998,112.459999,117.089996,117.089996,508106400